FIPS Code,State and area,Year,Month,Population,Labor_Force_Total,Labor_Force_Percent_of_Population,Employment_Total,Employment_Percent_of_Population,Unemployment_Total,Unemployment_Rate
46,South Dakota,2018,01,"661,242   ","455,674   ",68.9   ,"442,245   ",66.9   ,"13,429   ",2.9   
47,Tennessee,2018,01,"5,317,145   ","3,221,534   ",60.6   ,"3,109,126   ",58.5   ,"112,408   ",3.5   
48,Texas,2018,01,"21,303,717   ","13,570,502   ",63.7   ,"13,019,810   ",61.1   ,"550,692   ",4.1   
49,Utah,2018,01,"2,288,887   ","1,568,655   ",68.5   ,"1,521,272   ",66.5   ,"47,383   ",3.0   
50,Vermont,2018,01,"529,182   ","355,982   ",67.3   ,"345,428   ",65.3   ,"10,554   ",3.0   
51,Virginia,2018,01,"6,651,184   ","4,368,698   ",65.7   ,"4,224,313   ",63.5   ,"144,385   ",3.3   
53,Washington,2018,01,"5,904,206   ","3,762,253   ",63.7   ,"3,589,986   ",60.8   ,"172,267   ",4.6   
54,West Virginia,2018,01,"1,462,679   ","788,267   ",53.9   ,"745,615   ",51.0   ,"42,652   ",5.4   
55,Wisconsin,2018,01,"4,632,053   ","3,136,461   ",67.7   ,"3,044,548   ",65.7   ,"91,913   ",2.9   
56,Wyoming,2018,01,"445,405   ","292,130   ",65.6   ,"279,900   ",62.8   ,"12,230   ",4.2   
01,Alabama,2018,02,"3,902,971   ","2,222,103   ",56.9   ,"2,133,317   ",54.7   ,"88,786   ",4.0   
02,Alaska,2018,02,"546,024   ","356,817   ",65.3   ,"334,598   ",61.3   ,"22,219   ",6.2   
04,Arizona,2018,02,"5,398,448   ","3,283,642   ",60.8   ,"3,126,500   ",57.9   ,"157,142   ",4.8   
05,Arkansas,2018,02,"2,317,886   ","1,347,645   ",58.1   ,"1,297,171   ",56.0   ,"50,474   ",3.7   
06,California,2018,02,"30,911,398   ","19,223,127   ",62.2   ,"18,389,120   ",59.5   ,"834,007   ",4.3   
037,Los Angeles County,2018,02,"8,083,073   ","5,118,147   ",63.3   ,"4,881,564   ",60.4   ,"236,583   ",4.6   
08,Colorado,2018,02,"4,423,544   ","3,021,061   ",68.3   ,"2,934,778   ",66.3   ,"86,283   ",2.9   
09,Connecticut,2018,02,"2,906,969   ","1,917,006   ",65.9   ,"1,837,410   ",63.2   ,"79,596   ",4.2   
10,Delaware,2018,02,"769,467   ","478,859   ",62.2   ,"459,386   ",59.7   ,"19,473   ",4.1   
11,District of Columbia,2018,02,"560,504   ","396,276   ",70.7   ,"373,075   ",66.6   ,"23,201   ",5.9   
12,Florida,2018,02,"16,975,589   ","10,047,195   ",59.2   ,"9,652,344   ",56.9   ,"394,851   ",3.9   
13,Georgia,2018,02,"8,058,161   ","5,124,091   ",63.6   ,"4,906,243   ",60.9   ,"217,848   ",4.3   
15,Hawaii,2018,02,"1,123,367   ","693,399   ",61.7   ,"678,324   ",60.4   ,"15,075   ",2.2   
16,Idaho,2018,02,"1,334,049   ","853,941   ",64.0   ,"828,889   ",62.1   ,"25,052   ",2.9   
17,Illinois,2018,02,"10,137,235   ","6,563,449   ",64.7   ,"6,272,116   ",61.9   ,"291,333   ",4.4   
18,Indiana,2018,02,"5,210,372   ","3,360,798   ",64.5   ,"3,251,217   ",62.4   ,"109,581   ",3.3   
19,Iowa,2018,02,"2,470,776   ","1,701,026   ",68.8   ,"1,655,931   ",67.0   ,"45,095   ",2.7   
20,Kansas,2018,02,"2,231,214   ","1,484,117   ",66.5   ,"1,434,529   ",64.3   ,"49,588   ",3.3   
21,Kentucky,2018,02,"3,497,517   ","2,051,455   ",58.7   ,"1,965,154   ",56.2   ,"86,301   ",4.2   
22,Louisiana,2018,02,"3,585,044   ","2,116,516   ",59.0   ,"2,015,356   ",56.2   ,"101,160   ",4.8   
23,Maine,2018,02,"1,109,956   ","701,368   ",63.2   ,"680,668   ",61.3   ,"20,700   ",3.0   
24,Maryland,2018,02,"4,814,802   ","3,248,403   ",67.5   ,"3,124,980   ",64.9   ,"123,423   ",3.8   
25,Massachusetts,2018,02,"5,679,819   ","3,776,694   ",66.5   ,"3,639,458   ",64.1   ,"137,236   ",3.6   
26,Michigan,2018,02,"8,019,073   ","4,926,798   ",61.4   ,"4,710,607   ",58.7   ,"216,191   ",4.4   
27,Minnesota,2018,02,"4,403,621   ","3,078,239   ",69.9   ,"2,980,428   ",67.7   ,"97,811   ",3.2   
28,Mississippi,2018,02,"2,281,783   ","1,268,509   ",55.6   ,"1,206,476   ",52.9   ,"62,033   ",4.9   
29,Missouri,2018,02,"4,784,707   ","3,045,732   ",63.7   ,"2,942,039   ",61.5   ,"103,693   ",3.4   
30,Montana,2018,02,"842,245   ","530,473   ",63.0   ,"509,993   ",60.6   ,"20,480   ",3.9   
31,Nebraska,2018,02,"1,480,227   ","1,027,974   ",69.4   ,"998,256   ",67.4   ,"29,718   ",2.9   
32,Nevada,2018,02,"2,338,856   ","1,476,446   ",63.1   ,"1,404,901   ",60.1   ,"71,545   ",4.8   
33,New Hampshire,2018,02,"1,117,674   ","762,591   ",68.2   ,"741,831   ",66.4   ,"20,760   ",2.7   
34,New Jersey,2018,02,"7,296,597   ","4,596,940   ",63.0   ,"4,398,756   ",60.3   ,"198,184   ",4.3   
35,New Mexico,2018,02,"1,631,539   ","946,700   ",58.0   ,"898,319   ",55.1   ,"48,381   ",5.1   
36,New York,2018,02,"16,203,265   ","9,815,682   ",60.6   ,"9,386,086   ",57.9   ,"429,596   ",4.4   
51000,New York city,2018,02,"7,100,601   ","4,283,849   ",60.3   ,"4,103,230   ",57.8   ,"180,619   ",4.2   
37,North Carolina,2018,02,"7,994,997   ","4,892,610   ",61.2   ,"4,691,093   ",58.7   ,"201,517   ",4.1   
38,North Dakota,2018,02,"588,959   ","414,046   ",70.3   ,"403,274   ",68.5   ,"10,772   ",2.6   
39,Ohio,2018,02,"9,255,716   ","5,795,561   ",62.6   ,"5,531,967   ",59.8   ,"263,594   ",4.5   
40,Oklahoma,2018,02,"2,992,617   ","1,836,758   ",61.4   ,"1,770,627   ",59.2   ,"66,131   ",3.6   
41,Oregon,2018,02,"3,352,597   ","2,080,153   ",62.0   ,"1,996,923   ",59.6   ,"83,230   ",4.0   
42,Pennsylvania,2018,02,"10,376,649   ","6,474,412   ",62.4   ,"6,168,390   ",59.4   ,"306,022   ",4.7   
44,Rhode Island,2018,02,"885,671   ","570,047   ",64.4   ,"545,295   ",61.6   ,"24,752   ",4.3   
45,South Carolina,2018,02,"3,928,805   ","2,259,903   ",57.5   ,"2,176,667   ",55.4   ,"83,236   ",3.7   
46,South Dakota,2018,02,"661,492   ","456,193   ",69.0   ,"442,910   ",67.0   ,"13,283   ",2.9   
47,Tennessee,2018,02,"5,320,989   ","3,229,914   ",60.7   ,"3,116,778   ",58.6   ,"113,136   ",3.5   
48,Texas,2018,02,"21,326,011   ","13,603,866   ",63.8   ,"13,053,266   ",61.2   ,"550,600   ",4.0   
49,Utah,2018,02,"2,292,864   ","1,572,031   ",68.6   ,"1,525,005   ",66.5   ,"47,026   ",3.0   
50,Vermont,2018,02,"529,273   ","356,426   ",67.3   ,"345,967   ",65.4   ,"10,459   ",2.9   
51,Virginia,2018,02,"6,653,586   ","4,376,237   ",65.8   ,"4,234,740   ",63.6   ,"141,497   ",3.2   
53,Washington,2018,02,"5,910,714   ","3,771,896   ",63.8   ,"3,600,816   ",60.9   ,"171,080   ",4.5   
54,West Virginia,2018,02,"1,461,688   ","789,813   ",54.0   ,"747,120   ",51.1   ,"42,693   ",5.4   
55,Wisconsin,2018,02,"4,633,264   ","3,137,673   ",67.7   ,"3,046,276   ",65.7   ,"91,397   ",2.9   
56,Wyoming,2018,02,"445,368   ","292,193   ",65.6   ,"280,195   ",62.9   ,"11,998   ",4.1   
01,Alabama,2018,03,"3,904,426   ","2,228,853   ",57.1   ,"2,139,997   ",54.8   ,"88,856   ",4.0   
02,Alaska,2018,03,"545,863   ","356,698   ",65.3   ,"334,855   ",61.3   ,"21,843   ",6.1   
04,Arizona,2018,03,"5,405,490   ","3,294,609   ",60.9   ,"3,138,598   ",58.1   ,"156,011   ",4.7   
05,Arkansas,2018,03,"2,318,359   ","1,348,903   ",58.2   ,"1,298,923   ",56.0   ,"49,980   ",3.7   
06,California,2018,03,"30,920,855   ","19,257,396   ",62.3   ,"18,431,283   ",59.6   ,"826,113   ",4.3   
037,Los Angeles County,2018,03,"8,083,148   ","5,125,075   ",63.4   ,"4,888,961   ",60.5   ,"236,114   ",4.6   
08,Colorado,2018,03,"4,429,478   ","3,032,276   ",68.5   ,"2,944,618   ",66.5   ,"87,658   ",2.9   
09,Connecticut,2018,03,"2,907,480   ","1,921,347   ",66.1   ,"1,842,774   ",63.4   ,"78,573   ",4.1   
10,Delaware,2018,03,"770,119   ","480,089   ",62.3   ,"460,998   ",59.9   ,"19,091   ",4.0   
11,District of Columbia,2018,03,"560,732   ","397,285   ",70.9   ,"374,178   ",66.7   ,"23,107   ",5.8   
12,Florida,2018,03,"16,992,781   ","10,069,727   ",59.3   ,"9,679,693   ",57.0   ,"390,034   ",3.9   
13,Georgia,2018,03,"8,065,811   ","5,129,015   ",63.6   ,"4,914,677   ",60.9   ,"214,338   ",4.2   
15,Hawaii,2018,03,"1,123,413   ","695,255   ",61.9   ,"679,371   ",60.5   ,"15,884   ",2.3   
16,Idaho,2018,03,"1,336,566   ","856,347   ",64.1   ,"831,700   ",62.2   ,"24,647   ",2.9   
17,Illinois,2018,03,"10,135,551   ","6,566,992   ",64.8   ,"6,281,251   ",62.0   ,"285,741   ",4.4   
18,Indiana,2018,03,"5,212,950   ","3,375,039   ",64.7   ,"3,264,056   ",62.6   ,"110,983   ",3.3   
19,Iowa,2018,03,"2,471,274   ","1,706,429   ",69.1   ,"1,662,427   ",67.3   ,"44,002   ",2.6   
20,Kansas,2018,03,"2,231,498   ","1,486,529   ",66.6   ,"1,437,419   ",64.4   ,"49,110   ",3.3   
21,Kentucky,2018,03,"3,498,137   ","2,055,144   ",58.7   ,"1,968,939   ",56.3   ,"86,205   ",4.2   
22,Louisiana,2018,03,"3,584,559   ","2,120,755   ",59.2   ,"2,018,008   ",56.3   ,"102,747   ",4.8   
23,Maine,2018,03,"1,110,352   ","702,630   ",63.3   ,"681,958   ",61.4   ,"20,672   ",2.9   
24,Maryland,2018,03,"4,816,195   ","3,251,233   ",67.5   ,"3,131,430   ",65.0   ,"119,803   ",3.7   
25,Massachusetts,2018,03,"5,682,557   ","3,792,020   ",66.7   ,"3,655,799   ",64.3   ,"136,221   ",3.6   
26,Michigan,2018,03,"8,020,854   ","4,934,424   ",61.5   ,"4,724,083   ",58.9   ,"210,341   ",4.3   
27,Minnesota,2018,03,"4,406,401   ","3,081,147   ",69.9   ,"2,985,096   ",67.7   ,"96,051   ",3.1   
28,Mississippi,2018,03,"2,281,067   ","1,270,468   ",55.7   ,"1,208,351   ",53.0   ,"62,117   ",4.9   
29,Missouri,2018,03,"4,785,512   ","3,048,267   ",63.7   ,"2,947,208   ",61.6   ,"101,059   ",3.3   
30,Montana,2018,03,"842,865   ","531,671   ",63.1   ,"511,405   ",60.7   ,"20,266   ",3.8   
31,Nebraska,2018,03,"1,480,926   ","1,030,081   ",69.6   ,"1,000,710   ",67.6   ,"29,371   ",2.9   
32,Nevada,2018,03,"2,342,755   ","1,481,564   ",63.2   ,"1,411,555   ",60.3   ,"70,009   ",4.7   
33,New Hampshire,2018,03,"1,118,214   ","764,942   ",68.4   ,"744,248   ",66.6   ,"20,694   ",2.7   
34,New Jersey,2018,03,"7,299,160   ","4,603,382   ",63.1   ,"4,408,665   ",60.4   ,"194,717   ",4.2   
35,New Mexico,2018,03,"1,631,879   ","948,232   ",58.1   ,"901,035   ",55.2   ,"47,197   ",5.0   
36,New York,2018,03,"16,205,155   ","9,827,553   ",60.6   ,"9,406,848   ",58.0   ,"420,705   ",4.3   
51000,New York city,2018,03,"7,101,834   ","4,287,029   ",60.4   ,"4,108,248   ",57.8   ,"178,781   ",4.2   
37,North Carolina,2018,03,"8,002,492   ","4,901,997   ",61.3   ,"4,704,495   ",58.8   ,"197,502   ",4.0   
38,North Dakota,2018,03,"589,073   ","414,152   ",70.3   ,"403,638   ",68.5   ,"10,514   ",2.5   
39,Ohio,2018,03,"9,257,432   ","5,804,690   ",62.7   ,"5,540,584   ",59.9   ,"264,106   ",4.5   
40,Oklahoma,2018,03,"2,993,099   ","1,838,694   ",61.4   ,"1,774,324   ",59.3   ,"64,370   ",3.5   
41,Oregon,2018,03,"3,355,358   ","2,080,226   ",62.0   ,"1,998,044   ",59.5   ,"82,182   ",4.0   
42,Pennsylvania,2018,03,"10,378,403   ","6,483,756   ",62.5   ,"6,183,404   ",59.6   ,"300,352   ",4.6   
44,Rhode Island,2018,03,"886,042   ","571,006   ",64.4   ,"546,964   ",61.7   ,"24,042   ",4.2   
45,South Carolina,2018,03,"3,932,642   ","2,263,172   ",57.5   ,"2,184,301   ",55.5   ,"78,871   ",3.5   
46,South Dakota,2018,03,"661,763   ","457,002   ",69.1   ,"443,872   ",67.1   ,"13,130   ",2.9   
47,Tennessee,2018,03,"5,325,418   ","3,240,494   ",60.8   ,"3,126,924   ",58.7   ,"113,570   ",3.5   
48,Texas,2018,03,"21,348,751   ","13,640,180   ",63.9   ,"13,091,083   ",61.3   ,"549,097   ",4.0   
49,Utah,2018,03,"2,297,079   ","1,576,092   ",68.6   ,"1,529,314   ",66.6   ,"46,778   ",3.0   
50,Vermont,2018,03,"529,417   ","356,929   ",67.4   ,"346,643   ",65.5   ,"10,286   ",2.9   
51,Virginia,2018,03,"6,656,251   ","4,384,496   ",65.9   ,"4,246,774   ",63.8   ,"137,722   ",3.1   
53,Washington,2018,03,"5,917,637   ","3,783,539   ",63.9   ,"3,613,911   ",61.1   ,"169,628   ",4.5   
54,West Virginia,2018,03,"1,460,868   ","791,877   ",54.2   ,"749,326   ",51.3   ,"42,551   ",5.4   
55,Wisconsin,2018,03,"4,635,000   ","3,139,851   ",67.7   ,"3,047,797   ",65.8   ,"92,054   ",2.9   
56,Wyoming,2018,03,"445,350   ","292,461   ",65.7   ,"280,654   ",63.0   ,"11,807   ",4.0   
01,Alabama,2018,04,"3,906,065   ","2,234,574   ",57.2   ,"2,145,919   ",54.9   ,"88,655   ",4.0   
02,Alaska,2018,04,"545,791   ","356,583   ",65.3   ,"335,100   ",61.4   ,"21,483   ",6.0   
04,Arizona,2018,04,"5,412,927   ","3,305,181   ",61.1   ,"3,150,198   ",58.2   ,"154,983   ",4.7   
05,Arkansas,2018,04,"2,318,974   ","1,349,993   ",58.2   ,"1,300,735   ",56.1   ,"49,258   ",3.6   
06,California,2018,04,"30,932,739   ","19,287,831   ",62.4   ,"18,468,594   ",59.7   ,"819,237   ",4.2   
037,Los Angeles County,2018,04,"8,083,505   ","5,130,201   ",63.5   ,"4,894,708   ",60.6   ,"235,493   ",4.6   
08,Colorado,2018,04,"4,435,772   ","3,042,661   ",68.6   ,"2,953,048   ",66.6   ,"89,613   ",2.9   
09,Connecticut,2018,04,"2,908,160   ","1,926,073   ",66.2   ,"1,848,578   ",63.6   ,"77,495   ",4.0   
10,Delaware,2018,04,"770,838   ","480,979   ",62.4   ,"462,285   ",60.0   ,"18,694   ",3.9   
11,District of Columbia,2018,04,"561,043   ","397,756   ",70.9   ,"374,862   ",66.8   ,"22,894   ",5.8   
12,Florida,2018,04,"17,011,084   ","10,089,728   ",59.3   ,"9,705,256   ",57.1   ,"384,472   ",3.8   
13,Georgia,2018,04,"8,074,057   ","5,132,228   ",63.6   ,"4,921,697   ",61.0   ,"210,531   ",4.1   
15,Hawaii,2018,04,"1,123,671   ","696,488   ",62.0   ,"680,023   ",60.5   ,"16,465   ",2.4   
16,Idaho,2018,04,"1,339,123   ","858,709   ",64.1   ,"834,330   ",62.3   ,"24,379   ",2.8   
17,Illinois,2018,04,"10,134,500   ","6,569,254   ",64.8   ,"6,287,695   ",62.0   ,"281,559   ",4.3   
18,Indiana,2018,04,"5,215,736   ","3,388,144   ",65.0   ,"3,275,366   ",62.8   ,"112,778   ",3.3   
19,Iowa,2018,04,"2,471,898   ","1,711,544   ",69.2   ,"1,668,519   ",67.5   ,"43,025   ",2.5   
20,Kansas,2018,04,"2,231,945   ","1,488,704   ",66.7   ,"1,440,058   ",64.5   ,"48,646   ",3.3   
21,Kentucky,2018,04,"3,498,980   ","2,058,416   ",58.8   ,"1,972,112   ",56.4   ,"86,304   ",4.2   
22,Louisiana,2018,04,"3,584,345   ","2,122,681   ",59.2   ,"2,018,850   ",56.3   ,"103,831   ",4.9   
23,Maine,2018,04,"1,110,815   ","703,934   ",63.4   ,"682,982   ",61.5   ,"20,952   ",3.0   
24,Maryland,2018,04,"4,818,014   ","3,254,698   ",67.6   ,"3,137,389   ",65.1   ,"117,309   ",3.6   
25,Massachusetts,2018,04,"5,685,615   ","3,805,229   ",66.9   ,"3,670,154   ",64.6   ,"135,075   ",3.5   
26,Michigan,2018,04,"8,022,952   ","4,940,110   ",61.6   ,"4,735,329   ",59.0   ,"204,781   ",4.1   
27,Minnesota,2018,04,"4,409,411   ","3,083,193   ",69.9   ,"2,989,013   ",67.8   ,"94,180   ",3.1   
28,Mississippi,2018,04,"2,280,431   ","1,271,609   ",55.8   ,"1,209,519   ",53.0   ,"62,090   ",4.9   
29,Missouri,2018,04,"4,786,577   ","3,049,572   ",63.7   ,"2,951,639   ",61.7   ,"97,933   ",3.2   
30,Montana,2018,04,"843,535   ","532,844   ",63.2   ,"512,723   ",60.8   ,"20,121   ",3.8   
31,Nebraska,2018,04,"1,481,706   ","1,032,045   ",69.7   ,"1,002,949   ",67.7   ,"29,096   ",2.8   
32,Nevada,2018,04,"2,346,773   ","1,485,423   ",63.3   ,"1,417,957   ",60.4   ,"67,466   ",4.5   
33,New Hampshire,2018,04,"1,118,829   ","767,144   ",68.6   ,"746,517   ",66.7   ,"20,627   ",2.7   
34,New Jersey,2018,04,"7,302,220   ","4,610,320   ",63.1   ,"4,418,557   ",60.5   ,"191,763   ",4.2   
35,New Mexico,2018,04,"1,632,374   ","949,515   ",58.2   ,"903,412   ",55.3   ,"46,103   ",4.9   
36,New York,2018,04,"16,208,051   ","9,840,981   ",60.7   ,"9,429,347   ",58.2   ,"411,634   ",4.2   
51000,New York city,2018,04,"7,103,348   ","4,289,716   ",60.4   ,"4,112,970   ",57.9   ,"176,746   ",4.1   
37,North Carolina,2018,04,"8,010,516   ","4,910,919   ",61.3   ,"4,716,490   ",58.9   ,"194,429   ",4.0   
38,North Dakota,2018,04,"589,297   ","413,934   ",70.2   ,"403,790   ",68.5   ,"10,144   ",2.5   
39,Ohio,2018,04,"9,259,557   ","5,814,581   ",62.8   ,"5,550,258   ",59.9   ,"264,323   ",4.5   
40,Oklahoma,2018,04,"2,993,836   ","1,839,219   ",61.4   ,"1,776,875   ",59.4   ,"62,344   ",3.4   
41,Oregon,2018,04,"3,358,284   ","2,079,857   ",61.9   ,"1,998,755   ",59.5   ,"81,102   ",3.9   
42,Pennsylvania,2018,04,"10,380,694   ","6,492,232   ",62.5   ,"6,197,965   ",59.7   ,"294,267   ",4.5   
44,Rhode Island,2018,04,"886,501   ","571,882   ",64.5   ,"548,476   ",61.9   ,"23,406   ",4.1   
45,South Carolina,2018,04,"3,936,735   ","2,267,395   ",57.6   ,"2,191,811   ",55.7   ,"75,584   ",3.3   
46,South Dakota,2018,04,"662,107   ","457,586   ",69.1   ,"444,630   ",67.2   ,"12,956   ",2.8   
47,Tennessee,2018,04,"5,330,045   ","3,250,511   ",61.0   ,"3,136,783   ",58.9   ,"113,728   ",3.5   
48,Texas,2018,04,"21,373,127   ","13,670,383   ",64.0   ,"13,125,424   ",61.4   ,"544,959   ",4.0   
49,Utah,2018,04,"2,301,392   ","1,579,895   ",68.6   ,"1,533,277   ",66.6   ,"46,618   ",3.0   
50,Vermont,2018,04,"529,585   ","357,314   ",67.5   ,"347,273   ",65.6   ,"10,041   ",2.8   
51,Virginia,2018,04,"6,659,536   ","4,389,539   ",65.9   ,"4,256,496   ",63.9   ,"133,043   ",3.0   
53,Washington,2018,04,"5,925,001   ","3,794,549   ",64.0   ,"3,626,875   ",61.2   ,"167,674   ",4.4   
54,West Virginia,2018,04,"1,460,100   ","793,742   ",54.4   ,"751,592   ",51.5   ,"42,150   ",5.3   
55,Wisconsin,2018,04,"4,636,956   ","3,140,847   ",67.7   ,"3,047,708   ",65.7   ,"93,139   ",3.0   
56,Wyoming,2018,04,"445,324   ","292,740   ",65.7   ,"281,053   ",63.1   ,"11,687   ",4.0   
01,Alabama,2018,05,"3,907,744   ","2,238,465   ",57.3   ,"2,150,167   ",55.0   ,"88,298   ",3.9   
02,Alaska,2018,05,"545,675   ","356,371   ",65.3   ,"335,170   ",61.4   ,"21,201   ",5.9   
04,Arizona,2018,05,"5,420,337   ","3,314,729   ",61.2   ,"3,160,051   ",58.3   ,"154,678   ",4.7   
05,Arkansas,2018,05,"2,319,552   ","1,350,426   ",58.2   ,"1,301,908   ",56.1   ,"48,518   ",3.6   
06,California,2018,05,"30,944,064   ","19,305,583   ",62.4   ,"18,491,362   ",59.8   ,"814,221   ",4.2   
037,Los Angeles County,2018,05,"8,083,566   ","5,130,987   ",63.5   ,"4,896,015   ",60.6   ,"234,972   ",4.6   
08,Colorado,2018,05,"4,442,051   ","3,050,463   ",68.7   ,"2,958,696   ",66.6   ,"91,767   ",3.0   
09,Connecticut,2018,05,"2,908,867   ","1,930,061   ",66.4   ,"1,853,593   ",63.7   ,"76,468   ",4.0   
10,Delaware,2018,05,"771,520   ","481,216   ",62.4   ,"462,907   ",60.0   ,"18,309   ",3.8   
11,District of Columbia,2018,05,"561,322   ","397,461   ",70.8   ,"374,914   ",66.8   ,"22,547   ",5.7   
12,Florida,2018,05,"17,029,827   ","10,105,273   ",59.3   ,"9,726,952   ",57.1   ,"378,321   ",3.7   
13,Georgia,2018,05,"8,082,086   ","5,131,100   ",63.5   ,"4,924,450   ",60.9   ,"206,650   ",4.0   
15,Hawaii,2018,05,"1,123,906   ","696,557   ",62.0   ,"679,818   ",60.5   ,"16,739   ",2.4   
16,Idaho,2018,05,"1,341,697   ","860,704   ",64.2   ,"836,410   ",62.3   ,"24,294   ",2.8   
