date,Iron County Tax,isPartial
2021-02-14,0,False
2021-02-21,27,False
2021-02-28,31,False
2021-03-07,30,False
2021-03-14,0,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,39,False
2021-04-11,34,False
2021-04-18,18,False
2021-04-25,31,False
2021-05-02,53,False
2021-05-09,0,False
2021-05-16,75,False
2021-05-23,37,False
2021-05-30,0,False
2021-06-06,47,False
2021-06-13,0,False
2021-06-20,0,False
2021-06-27,28,False
2021-07-04,0,False
2021-07-11,33,False
2021-07-18,46,False
2021-07-25,24,False
2021-08-01,0,False
2021-08-08,27,False
2021-08-15,46,False
2021-08-22,0,False
2021-08-29,0,False
2021-09-05,0,False
2021-09-12,0,False
2021-09-19,42,False
2021-09-26,0,False
2021-10-03,0,False
2021-10-10,0,False
2021-10-17,29,False
2021-10-24,30,False
2021-10-31,0,False
2021-11-07,85,False
2021-11-14,0,False
2021-11-21,35,False
2021-11-28,0,False
2021-12-05,0,False
2021-12-12,0,False
2021-12-19,0,False
2021-12-26,52,False
2022-01-02,0,False
2022-01-09,0,False
2022-01-16,41,False
2022-01-23,62,False
2022-01-30,69,False
2022-02-06,0,False
2022-02-13,36,False
2022-02-20,0,False
2022-02-27,32,False
2022-03-06,18,False
2022-03-13,21,False
2022-03-20,0,False
2022-03-27,0,False
2022-04-03,33,False
2022-04-10,0,False
2022-04-17,22,False
2022-04-24,24,False
2022-05-01,29,False
2022-05-08,44,False
2022-05-15,30,False
2022-05-22,0,False
2022-05-29,0,False
2022-06-05,0,False
2022-06-12,24,False
2022-06-19,0,False
2022-06-26,38,False
2022-07-03,39,False
2022-07-10,0,False
2022-07-17,37,False
2022-07-24,43,False
2022-07-31,20,False
2022-08-07,23,False
2022-08-14,0,False
2022-08-21,0,False
2022-08-28,63,False
2022-09-04,25,False
2022-09-11,32,False
2022-09-18,31,False
2022-09-25,51,False
2022-10-02,18,False
2022-10-09,59,False
2022-10-16,28,False
2022-10-23,27,False
2022-10-30,30,False
2022-11-06,0,False
2022-11-13,0,False
2022-11-20,0,False
2022-11-27,0,False
2022-12-04,37,False
2022-12-11,0,False
2022-12-18,18,False
2022-12-25,25,False
2023-01-01,42,False
2023-01-08,45,False
2023-01-15,0,False
2023-01-22,0,False
2023-01-29,79,False
2023-02-05,56,False
2023-02-12,46,True
